Site,250m_16_days_EVI-0,50m_16_days_NDVI-0,Fpar_500m-0,Lai_500m-0,LST_Day_1km-0,LST_Night_1km-0,250m_16_days_EVI-1,50m_16_days_NDVI-1,Fpar_500m-1,Lai_500m-1,LST_Day_1km-1,LST_Night_1km-1,250m_16_days_EVI-2,50m_16_days_NDVI-2,Fpar_500m-2,Lai_500m-2,LST_Day_1km-2,LST_Night_1km-2,LATITUDE,LONGITUDE,FIRE_SIZE,FIRE_SIZE_CLASS,DISCOVERY_DATE
HIA1,0.04173813441459415,0.05699586117176899,0.06893998510258471,0.5734536894216774,-1.6720976100457046,4.86689328407433,0.044068482071743485,0.061500488563136606,0.07967623679461945,0.6333675682221859,-2.404179248378996,4.5259808667054395,0.030178876851525847,0.0574947581338217,0.07032173493001133,0.6765738067128243,-0.7182478792107719,4.509048823119157,21.4572334,-158.1639252,0.01,A,7/13/2010
HIA2,-0.005020314864743311,0.031400562109923744,-0.003801002610800502,0.057582880210956186,-1.2592364455645704,4.600401215616248,-0.020876909005701435,0.016748188337504598,-0.02478456028597166,0.005042857810341243,-0.38341772038958394,4.88636190151265,-0.012490878502511108,0.022590632862321082,-0.008592444313958711,0.08996800712939565,0.16889961151621413,4.739726156915639,20.8724556,-156.6726685,0.01,A,6/10/2011
HIA3,0.0988773066480297,0.07066759879119636,0.2783382851296577,2.51583366692915,-7.686296811952381,2.819376153202345,0.10613027634377456,0.0812006915547701,0.29109282933471187,2.714112199401119,-7.9895402416661065,2.63496673546122,0.09335940792365141,0.06583868101004153,0.27219235963135513,2.4389759084437226,-7.901520237833593,2.62547228427048,21.5181446,-157.8358002,0.1,A,2/5/2011
HIB1,-0.0048338042586800216,-0.01901242627597299,-0.00027043585887545266,0.01012299154965542,1.8590843257881577,5.889663636308841,0.0265108036184191,0.02525026287206946,0.11368995819042267,0.46913445651884056,-0.17963321989304118,5.8322732890619395,-0.007088123114852781,-0.016870415312215586,0.0050480850257460545,0.023821982267853738,1.2121766375288368,5.83936907229075,21.405962,-158.1668854,1.0,B,4/16/2006
HIB2,0.016313994298199283,-0.0024025146845604063,-0.019929618194180862,-0.10803557132878921,1.313388488425183,3.4649098242870493,0.0003794591610823104,-0.02166988577753203,-0.06675699964071236,-0.29188264043669304,2.661676645597308,3.0144564560828258,-0.011315195687650307,-0.03586185064167495,-0.07477608570747041,-0.25105600539360046,3.9369495641286307,3.32858335741393,20.0917187,-155.8131409,3.0,B,7/5/2010
HIB3,-0.022648562588192197,-0.038026946428910864,-0.020114093700767898,-0.09968920927923318,1.4136323535815312,4.918008216618568,-0.04972055054995395,-0.06635742521180873,-0.08393314570281891,-0.3047426733972464,3.2182723588635267,5.029510897911058,-0.008609954621870898,-0.018946027357667077,0.011930427525617737,0.013191524183832312,0.9807241496354703,5.185643782964368,21.3350639,-158.0409088,3.0,B,11/9/2011
HIC1,-0.030069102608570306,-0.056074817630677835,-0.03289309051317844,-0.10506512384559383,3.227126326832752,5.840835818793273,0.008771909253966353,-0.005475432269696518,0.07415213464052965,0.2982637819648328,0.4952180205744387,5.924166441717529,-0.013517208780158645,-0.03255664295647439,0.01627525718251866,0.11501837485566883,1.927220865904832,5.817502746555363,21.3348923,-158.0847931,10.0,C,1/6/2006
HIC2,-0.022245529515213948,-0.01345677234854732,-0.032646320844327455,0.011815960814197803,1.1064481399909274,4.8909826945262775,0.028951884715481956,0.038240351373448715,0.07535261220471572,0.4298844626915594,-1.4367916804376093,5.062235087547087,-0.018735250657776058,-0.0170601682479912,-0.022211908811011663,0.046147188340673044,1.0630226009466193,4.733784108582515,21.4304695,-158.1747437,10.0,C,12/9/2012
HIC3,0.06617451077251411,0.11666509790488985,0.19796429437008406,1.103415454702121,-3.2778638824715802,2.301534999717549,0.072656251634801,0.11635966511322997,0.2129586847319704,1.150125097153961,-3.5503007018639003,2.201736648698648,0.0577160763992544,0.1009189962275207,0.17606608952025402,1.0068740053528384,-2.5381368896094294,2.0850680680436713,20.8433075,-156.3327637,10.0,C,8/7/2007
HID1,-0.11494967961772183,-0.1331669785418536,-0.046666587110657104,-0.260818756458685,2.4210417818597345,-5.760508508526658,-0.11052237964820844,-0.13431053735464873,-0.049371358872246425,-0.26958502768701076,0.627833691606905,-5.902500322892358,-0.10807633729743306,-0.12838083799847355,-0.01030733476938318,-0.14607717881712504,2.8802791482371184,-4.825204793554754,19.42,-155.37,100.0,D,4/21/2010
HID2,0.124456173626983,0.18218883052730792,0.19667067799006155,1.726964041520471,-0.7512294793086964,0.12695525328303633,0.1311733266697042,0.1810192608440601,0.20607551267829602,1.8080572963098458,-1.0285004324821874,-0.3004672233365039,0.12731453278847532,0.18391244847101457,0.18946187041865425,1.6874743756989483,-0.6782087197461386,-0.24881381287943946,19.1890945,-155.4682465,100.0,D,8/19/2007
HID3,0.06990394374931301,0.22717061969026672,0.21176383930126902,1.6222996067043258,-5.2237732866415465,2.3650785682798956,0.0726011742697565,0.21532862464920605,0.15766656339326862,1.2672756843913668,-6.082610119671721,2.8506299176311987,0.08208609143807735,0.23159632310116782,0.2022913985970602,1.6029185386650986,-6.268355324547779,2.463261521601243,22.0953884,-159.6895752,100.0,D,6/25/2012
HIE1,-0.02499838974730382,-0.048478248513835066,-0.02932001707772525,-0.352821911781648,-0.40421998534691034,-0.09212128089223903,-0.03268856607724027,-0.06497105938596773,-0.06812109031214313,-0.4455048958481002,1.516799054582575,-0.35374984570171114,-0.052933287465697046,-0.09265092160682084,-0.10433095575695431,-0.5901422990332228,2.924653247553144,-0.4457286019781389,19.9138565,-155.7016602,300.0,E,6/21/2007
HIE2,0.029868181998966147,0.02967948869471907,0.031269597963098215,0.10667134984141012,-2.2765007052086075,-1.139694299557821,0.03371444374266801,0.03178354033057787,0.027913714418168457,0.10758164856049941,-3.1595388749364663,-1.2990578588066095,0.017631394164762268,0.016335583486047158,-0.003197161481454945,-0.047442550985479934,-0.7642719263273683,-1.180089399357524,20.629444,-156.2325,300.0,E,11/21/2019
HIE3,0.031446530270876384,0.0799618474265148,0.07540714201758537,0.6094667829095196,-1.0896123805818423,4.650215655158461,0.051926707330445215,0.11787098901824174,0.13123094848985592,0.8335619940979266,-3.056042153505836,4.9411185638731565,0.037576754847410083,0.09782724505169293,0.11946271841165465,0.8376186034761122,-2.78991879511238,4.618680077811526,20.8963718,-156.675827,300.0,E,2/5/2006
HIF1,-0.12933812882018964,-0.16945856419621436,-0.052673024642652506,-0.28290926221226415,5.051061461672401,-6.447793985397662,-0.12682358847774625,-0.16589000318073285,-0.05162130796412479,-0.2498152697695127,2.1236319032655984,-7.059585534034578,-0.13190887824200365,-0.17194447269301888,-0.07575792722808618,-0.34363697964976275,3.2977134959501027,-7.180133228783597,19.43,-155.4,1000.0,F,11/15/2012
HIF2,-0.10752190047926477,-0.12491419916333966,-0.14417240242264223,-0.6569798285080852,1.5891146292800564,2.3115707279053384,-0.1058985196566451,-0.12028879207104289,-0.12369959176348787,-0.6239316942611365,1.59922054614538,2.041339106958009,-0.11643302978487045,-0.15018746663074373,-0.17910073246581418,-0.7539554777639271,2.5864967524071956,1.9330096148384763,19.8313141,-155.8098297,1000.0,F,10/3/2006
HIF3,-0.02715719838800219,-0.0428306431885704,-0.03324859840797753,-0.11989962730452705,2.6662273291071203,5.545420316217856,-0.0021283132657851428,-0.019664180006325693,-0.013531676183895681,-0.05075608737115633,1.3281543699848257,5.6186409735655465,-0.019225067569255478,-0.036193050661613116,-0.016589132162459167,-0.07699631786220552,1.3993414877497032,5.162110817736567,21.4050732,-158.1687164,1000.0,F,6/3/2012
HIG1,0.01024366121825254,0.020388764318147564,-0.029105930799688387,-0.17267090411371286,-0.6884589194595492,-0.24921147779689512,0.04274424089859603,0.052581865530265844,0.05245144930441783,0.20505463201620766,-1.8934324295723755,-0.2080460473401084,0.040997632634372144,0.036848180862334705,0.0342555640420119,0.11363666716557447,-2.3692323584765296,-0.16525840509992754,20.6336,-156.2658,5800.0,G,2/15/2016
HIG2,-0.017315320129796478,-0.010287171183416455,-0.014019576892348852,-0.07662310676077908,0.9051920948436517,4.561859967856744,-0.00981517817962586,0.0004163187372786247,0.002542604784445802,-0.00045146875133643584,0.048893503424039864,4.226183232168353,-0.029390866650188367,-0.02454942501546964,-0.036287493328830675,-0.08241623956619024,1.6834659806587005,4.477960965508045,20.7940254,-156.5171356,6200.0,G,6/7/2010
HIG3,0.11404297521878501,0.17978639617097486,0.24438546876488304,1.7303985019690455,-2.630260986291803,3.6672709987069663,0.10239894738042221,0.1635325587422765,0.21484345536761842,1.5778353249657981,-2.471023892001305,3.482102844898864,0.09519862637580212,0.15824445337821438,0.2120362207422709,1.5259087748060227,-2.160225485779197,3.397608488111844,21.5445995,-158.0955963,7000.0,G,8/12/2007
TXA1,0.030107953762661583,0.025241428182996142,0.05465205939096784,-0.12303153800297087,-2.279590998186702,-1.4343251328296807,0.03447014570052897,0.030396799182909988,0.05697278645984043,-0.06692384637057554,-1.8726457621155952,0.20718895638500448,0.019284695775742842,0.009856715155422135,0.006723773293992119,-0.21992707176653828,-1.4584059021952607,-1.8056473116390659,32.2416,-97.1817,0.1,A,6/11/2018
