Site,250m_16_days_EVI-0,250m_16_days_NDVI-0,Fpar_500m-0,Lai_500m-0,LST_Day_1km-0,LST_Night_1km-0,250m_16_days_EVI-1,250m_16_days_NDVI-1,Fpar_500m-1,Lai_500m-1,LST_Day_1km-1,LST_Night_1km-1,250m_16_days_EVI-2,250m_16_days_NDVI-2,Fpar_500m-2,Lai_500m-2,LST_Day_1km-2,LST_Night_1km-2,LATITUDE,LONGITUDE,FIRE_SIZE,FIRE_SIZE_CLASS,DATE,_classes
SOL68,0.072462074,0.145539817,0.020188168,-0.093231527,6.862729381,5.712826452,0.093314838,0.174263429,0.088270967,0.097061698,4.169522363,4.810951026,0.089555498,0.175121403,0.08379044,0.085731229,5.693095892,5.559764893,33.40265083,-117.266807,4276,4,12/24/2020,1
SAD11,-0.010497002,-0.041647603,-0.003806374,0.206634916,-2.202833608,-0.359681191,0.001171618,-0.031838696,0.002452854,0.219598051,-2.682284462,-0.048956162,-0.000505375,-0.038099464,-0.019706798,0.033730961,-2.452884389,-0.718173695,37.30611833,-82.75805953,281,3,11/19/2020,0
SAD10,-0.020340279,-0.03304266,-0.021513034,0.004911721,-2.238707257,-1.183262545,-0.008354186,-0.024423389,-0.003540995,0.073342472,-1.933136825,-1.053872268,-0.006756973,-0.024515703,-0.02579606,-0.054157255,-2.202366539,-1.510989441,37.29922,-83.08933,281,3,11/16/2020,0
SWA6,0.030745813,0.061049299,0.03503101,0.224314939,-0.351469802,0.797887635,0.032566651,0.062465125,0.05605918,0.403699352,-1.165649508,0.993382974,0.035600745,0.065994151,0.052182555,0.378532058,-0.398460274,1.044637374,35.63114639,-94.09230701,0.25,0,11/15/2020,0
SWA1,0.01022575,0.022993018,0.026851479,0.220282438,0.042761254,0.228277504,-0.002914265,0.024191678,0.038041118,0.342471456,-0.417600778,0.535176323,0.007580635,0.030120363,0.046404973,0.356406922,-0.161821108,0.239998029,35.94754654,-92.16000651,0.25,0,11/14/2020,0
NOES50,0.029739252,-0.01785883,-0.050467596,-0.314540164,6.149733323,3.001893159,0.025312119,-0.022123227,-0.067676781,-0.345379878,5.310650988,2.793925721,0.024613119,-0.024339813,-0.07610319,-0.371591237,7.416426797,3.742386409,40.157285,-122.230317,9.4,2,11/8/2020,0
NWB27,-0.001884049,-0.020473383,-0.007499398,-0.133016196,3.2921759,0.673581867,-0.016291856,-0.050235285,-0.029382068,-0.16738512,0.76565398,-0.673323699,-0.010712104,-0.036329029,-0.007703947,-0.109357291,3.618170139,0.388686672,44.90651594,-117.4173135,9.9,1,10/28/2020,0
RMG14,0.002776876,0.003619738,0.084595899,0.218488106,-7.293295481,-5.35407294,-0.000833672,-0.017443192,0.069160646,0.235337911,-11.31389278,-7.017038821,-0.002649465,-0.017306365,0.059413977,0.179799947,-8.208624258,-6.076739024,40.20294639,-106.2387104,193812,4,10/14/2020,1
NRC4,0.046903488,0.036673023,0.158239643,0.44613504,-4.987310096,-2.19651839,0.052143187,0.045193847,0.159314708,0.417635728,-6.462328611,-3.280669368,0.054558096,0.064878708,0.216252367,0.573507403,-3.556358861,-1.896478481,47.95324641,-115.0851137,96,2,10/6/2020,0
SWS13,-0.000494391,0.032285271,0.037411959,-0.014170817,-3.207677733,-3.244354592,-0.007147925,0.018603011,0.012565667,-0.053745963,-6.689903629,-4.608910826,-0.007781213,0.009210119,-0.001278805,-0.104937231,-3.946426167,-3.876607556,35.32360562,-107.5835102,257,3,10/5/2020,0
